subjID,cost,goal,exptPart,trialNumber,roleCurrent,marblesSampled,probRed,lambda,drawnRed,reportedRed,inferredRed,playerTrialScore,oppTrialScore,playerTotalScore,oppTotalScore,waitTime,responseTime,catchQuestion,catchKey,catchResponse,catchTime,trialTime
sona-36012,unif,over,practice,1,sender,100,0.5,5,15,15,10,0,-5,0,-5,2644.7529729386188,1642495101368,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)? ",15,14,1642495101369,0
sona-36012,unif,over,practice,2,receiver,100,0.5,5,59,63,74,-15,15,-15,10,5275.742649411201,1642495180367,"How many <b class=""r"">red</b> marbles did your opponent report drawing? ",63,63,1642495180367,0
sona-36012,unif,over,trial,1,sender,100,0.5,5,70,60,55,0,-15,0,-15,3131.87587535958,1642495213060,"How many <b class=""r"">red</b> marbles did your opponent report drawing? ",-1,-1,1642495180367,0
sona-36012,unif,over,trial,2,receiver,100,0.5,5,65,73,60,-5,0,-5,-15,6332.927469260756,1642495227806,"How many <b class=""r"">red</b> marbles did your opponent report drawing? ",-1,-1,1642495180367,0
sona-36012,unif,over,trial,3,sender,100,0.5,5,61,61,55,0,-6,-5,-21,3163.7982003716434,1642495244116,"How many <b class=""r"">red</b> marbles did your opponent report drawing? ",-1,-1,1642495180367,0
sona-36012,unif,over,trial,4,receiver,100,0.5,5,53,56,12,-41,0,-46,-21,5435.209342451155,1642495256348,"How many <b class=""r"">red</b> marbles did your opponent report drawing? ",-1,-1,1642495180367,0
sona-36012,unif,over,trial,5,sender,100,0.5,5,72,72,68,0,-4,-46,-25,2825.216864872982,1642495264650,"How many <b class=""r"">red</b> marbles did your opponent report drawing? ",-1,-1,1642495264650,0
sona-36012,unif,over,trial,6,receiver,100,0.5,5,49,54,40,-9,0,-55,-25,6978.582679525906,1642495281654,"How many <b class=""r"">red</b> marbles did your opponent report drawing? ",-1,-1,1642495264650,0
sona-36012,unif,over,trial,7,sender,100,0.5,5,50,50,45,0,-5,-55,-30,2797.893463695737,1642495307209,"How many <b class=""r"">red</b> marbles did your opponent report drawing? ",-1,-1,1642495264650,0
sona-36012,unif,over,trial,8,receiver,100,0.5,5,61,68,60,-1,0,-56,-30,7110.6174110177835,1642495321887,"How many <b class=""r"">red</b> marbles did your opponent report drawing? ",-1,-1,1642495264650,0
