subjID,cost,goal,exptPart,trialNumber,roleCurrent,marblesSampled,probRed,lambda,k,ksay,kest,playerTrialScore,oppTrialScore,playerTotalScore,oppTotalScore,waitTime,responseTime,catchQuestion,catchKey,catchResponse,catchTime,trialTime,accuracy
sona-36244,linear,over,trial,1,receiver,100,0.5,5,76,81,75,-1,0,-1,0,6331.44103468915,1642854061813,"How many <b class=""r"">red</b> marbles did your opponent report drawing?",-1,-1,1642854021498,0,0.8333333333333334
sona-36244,linear,over,trial,3,receiver,100,0.5,5,89,97,90,-1,1,-2,-3,6194.264928715096,1642854105419,"How many <b class=""r"">red</b> marbles did your opponent report drawing?",-1,-1,1642854021498,0,0.8333333333333334
sona-36244,linear,over,trial,5,receiver,100,0.5,5,66,68,58,-8,0,0,-13,6818.3757935867925,1642854192229,"How many <b class=""r"">red</b> marbles did your opponent report drawing?",-1,-1,1642854192229,0,0.8333333333333334
sona-36244,linear,over,trial,7,receiver,100,0.5,5,88,92,85,-3,0,6,-22,6912.529170438946,1642854276124,"How many <b class=""r"">red</b> marbles did your opponent report drawing?",-1,-1,1642854192229,0,0.8333333333333334
sona-36244,linear,over,trial,9,receiver,100,0.5,5,38,41,35,-3,0,3,-24,5642.96090641106,1642854319395,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",-1,-1,1642854284966,0,0.8333333333333334
sona-36244,linear,over,trial,11,receiver,100,0.5,5,53,59,50,-3,0,0,-29,5343.400659546887,1642854351704,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",-1,-1,1642854333490,0,0.8333333333333334
sona-36244,linear,over,trial,13,receiver,100,0.5,5,67,73,67,0,0,0,-30,5857.728968262819,1642854382559,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",-1,-1,1642854333490,0,0.8333333333333334
sona-36244,linear,over,trial,15,receiver,100,0.5,5,55,59,51,-4,0,-4,-34,5181.42150778611,1642854425492,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",-1,-1,1642854425492,0,0.8333333333333334
sona-36244,linear,over,trial,17,receiver,100,0.5,5,70,75,69,-1,0,-5,-39,5202.760976050282,1642854468772,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",-1,-1,1642854450472,0,0.8333333333333334
sona-36244,linear,over,trial,19,receiver,100,0.5,5,69,76,70,-1,1,-6,-46,6303.122495870587,1642854492707,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",-1,-1,1642854450472,0,0.8333333333333334
sona-36244,linear,over,trial,21,receiver,100,0.5,5,79,83,78,-1,0,-5,-48,5477.1390641311555,1642854529736,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",-1,-1,1642854517029,0,0.8333333333333334
sona-36244,linear,over,trial,23,receiver,100,0.5,5,49,51,49,0,0,-3,-50,6346.233800721582,1642854578698,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",-1,-1,1642854517029,0,0.8333333333333334
sona-36244,linear,over,trial,25,receiver,100,0.5,5,79,82,77,-2,0,-5,-53,6527.075011950141,1642854601458,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",-1,-1,1642854601458,0,0.8333333333333334
sona-36244,linear,over,trial,27,receiver,100,0.5,5,26,27,25,-1,0,-6,-64,5926.6124678713495,1642854625810,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",-1,-1,1642854601458,0,0.8333333333333334
sona-36244,linear,over,trial,29,receiver,100,0.5,5,53,58,51,-2,0,-8,-70,5275.972410589309,1642854662217,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",-1,-1,1642854601458,0,0.8333333333333334
