subjID,cost,goal,exptPart,trialNumber,roleCurrent,marblesSampled,probRed,lambda,k,ksay,kest,playerTrialScore,oppTrialScore,playerTotalScore,oppTotalScore,waitTime,responseTime,catchQuestion,catchKey,catchResponse,catchTime,trialTime,accuracy
sona-36244,linear,over,trial,1,receiver,100,0.5,5,76,81,75,-1,0,-1,0,6331.44103468915,1642854061813,"How many <b class=""r"">red</b> marbles did your opponent report drawing?",-1,-1,1642854021498,0,0.8333333333333334
sona-36244,linear,over,trial,2,sender,100,0.5,5,13,13,9,0,-4,-1,-4,2113.327977605919,1642854077474,"How many <b class=""r"">red</b> marbles did your opponent report drawing?",-1,-1,1642854021498,0,0.8333333333333334
sona-36244,linear,over,trial,3,receiver,100,0.5,5,89,97,90,-1,1,-2,-3,6194.264928715096,1642854105419,"How many <b class=""r"">red</b> marbles did your opponent report drawing?",-1,-1,1642854021498,0,0.8333333333333334
sona-36244,linear,over,trial,4,sender,100,0.5,5,36,53,46,10,-10,8,-13,2292.9053476395784,1642854175091,"How many <b class=""r"">red</b> marbles did your opponent report drawing?",-1,-1,1642854021498,0,0.8333333333333334
sona-36244,linear,over,trial,5,receiver,100,0.5,5,66,68,58,-8,0,0,-13,6818.3757935867925,1642854192229,"How many <b class=""r"">red</b> marbles did your opponent report drawing?",-1,-1,1642854192229,0,0.8333333333333334
sona-36244,linear,over,trial,6,sender,100,0.5,5,29,46,38,9,-9,9,-22,2237.569283561956,1642854264487,"How many <b class=""r"">red</b> marbles did your opponent report drawing?",-1,-1,1642854192229,0,0.8333333333333334
sona-36244,linear,over,trial,7,receiver,100,0.5,5,88,92,85,-3,0,6,-22,6912.529170438946,1642854276124,"How many <b class=""r"">red</b> marbles did your opponent report drawing?",-1,-1,1642854192229,0,0.8333333333333334
sona-36244,linear,over,trial,8,sender,100,0.5,5,58,58,56,0,-2,6,-24,2468.620930342988,1642854284965,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",58,42,1642854284966,0,0.8333333333333334
sona-36244,linear,over,trial,9,receiver,100,0.5,5,38,41,35,-3,0,3,-24,5642.96090641106,1642854319395,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",-1,-1,1642854284966,0,0.8333333333333334
sona-36244,linear,over,trial,10,sender,100,0.5,5,83,83,78,0,-5,3,-29,2765.6411654182066,1642854333490,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",83,83,1642854333490,0,0.8333333333333334
sona-36244,linear,over,trial,11,receiver,100,0.5,5,53,59,50,-3,0,0,-29,5343.400659546887,1642854351704,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",-1,-1,1642854333490,0,0.8333333333333334
sona-36244,linear,over,trial,12,sender,100,0.5,5,73,73,72,0,-1,0,-30,2429.0750916062166,1642854361023,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",-1,-1,1642854333490,0,0.8333333333333334
sona-36244,linear,over,trial,13,receiver,100,0.5,5,67,73,67,0,0,0,-30,5857.728968262819,1642854382559,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",-1,-1,1642854333490,0,0.8333333333333334
sona-36244,linear,over,trial,14,sender,100,0.5,5,46,46,42,0,-4,0,-34,2608.238274946319,1642854398965,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",46,46,1642854398965,0,0.8333333333333334
sona-36244,linear,over,trial,15,receiver,100,0.5,5,55,59,51,-4,0,-4,-34,5181.42150778611,1642854425492,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",-1,-1,1642854425492,0,0.8333333333333334
sona-36244,linear,over,trial,16,sender,100,0.5,5,57,57,52,0,-5,-4,-39,2079.0078443318853,1642854450472,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",57,57,1642854450472,0,0.8333333333333334
sona-36244,linear,over,trial,17,receiver,100,0.5,5,70,75,69,-1,0,-5,-39,5202.760976050282,1642854468772,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",-1,-1,1642854450472,0,0.8333333333333334
sona-36244,linear,over,trial,18,sender,100,0.5,5,92,92,84,0,-8,-5,-47,2563.509926897623,1642854478127,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",-1,-1,1642854450472,0,0.8333333333333334
sona-36244,linear,over,trial,19,receiver,100,0.5,5,69,76,70,-1,1,-6,-46,6303.122495870587,1642854492707,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",-1,-1,1642854450472,0,0.8333333333333334
sona-36244,linear,over,trial,20,sender,100,0.5,5,46,51,48,2,-2,-4,-48,2202.764643070655,1642854517029,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",-1,-1,1642854517029,0,0.8333333333333334
sona-36244,linear,over,trial,21,receiver,100,0.5,5,79,83,78,-1,0,-5,-48,5477.1390641311555,1642854529736,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",-1,-1,1642854517029,0,0.8333333333333334
sona-36244,linear,over,trial,22,sender,100,0.5,5,43,51,45,2,-2,-3,-50,3074.2438992860784,1642854567007,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",-1,-1,1642854517029,0,0.8333333333333334
sona-36244,linear,over,trial,23,receiver,100,0.5,5,49,51,49,0,0,-3,-50,6346.233800721582,1642854578698,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",-1,-1,1642854517029,0,0.8333333333333334
sona-36244,linear,over,trial,24,sender,100,0.5,5,48,48,45,0,-3,-3,-53,2230.734341702817,1642854588369,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",-1,-1,1642854517029,0,0.8333333333333334
sona-36244,linear,over,trial,25,receiver,100,0.5,5,79,82,77,-2,0,-5,-53,6527.075011950141,1642854601458,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",-1,-1,1642854601458,0,0.8333333333333334
sona-36244,linear,over,trial,26,sender,100,0.5,5,91,91,80,0,-11,-5,-64,2704.2691609249177,1642854611786,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",-1,-1,1642854601458,0,0.8333333333333334
sona-36244,linear,over,trial,27,receiver,100,0.5,5,26,27,25,-1,0,-6,-64,5926.6124678713495,1642854625810,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",-1,-1,1642854601458,0,0.8333333333333334
sona-36244,linear,over,trial,28,sender,100,0.5,5,19,19,13,0,-6,-6,-70,2281.9910173384947,1642854650301,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",-1,-1,1642854601458,0,0.8333333333333334
sona-36244,linear,over,trial,29,receiver,100,0.5,5,53,58,51,-2,0,-8,-70,5275.972410589309,1642854662217,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",-1,-1,1642854601458,0,0.8333333333333334
sona-36244,linear,over,trial,30,sender,100,0.5,5,76,76,72,0,-4,-8,-74,2466.114331290977,1642854671815,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",-1,-1,1642854671815,0,0.8333333333333334
sona-36244,linear,over,trial,31,receiver,100,0.5,5,84,91,88,-4,4,-12,-70,6471.892605788189,1642854685383,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",-1,-1,1642854671815,0,0.8333333333333334
sona-36244,linear,over,trial,32,sender,100,0.5,5,70,70,67,0,-3,-12,-73,2971.548989589448,1642854701214,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",-1,-1,1642854671815,0,0.8333333333333334
sona-36244,linear,over,trial,33,receiver,100,0.5,5,39,49,45,-6,6,-18,-67,6206.4927750177085,1642854711699,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",-1,-1,1642854671815,0,0.8333333333333334
